date,snow_depth_cm,snow_sub_heave,heave_cm,Longitude (x)_x,Latitude (y)_x,Station Name_x,Climate ID_x,Date/Time_x,Data Quality_x,Max Temp (°C)_x,Min Temp (°C)_x,Mean Temp (°C)_x,Heat Deg Days (°C)_x,Cool Deg Days (°C)_x,Total Rain (mm)_x,Total Snow (cm)_x,Total Precip (mm)_x,Snow on Grnd (cm)_x,Dir of Max Gust (10s deg)_x,Spd of Max Gust (km/h)_x,Elevation_x,Longitude (x)_y,Latitude (y)_y,Station Name_y,Climate ID_y,Date/Time_y,Data Quality_y,Max Temp (°C)_y,Min Temp (°C)_y,Mean Temp (°C)_y,Heat Deg Days (°C)_y,Cool Deg Days (°C)_y,Total Rain (mm)_y,Total Snow (cm)_y,Total Precip (mm)_y,Snow on Grnd (cm)_y,Dir of Max Gust (10s deg)_y,Spd of Max Gust (km/h)_y,Elevation_y
2019-07-07,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-07,,14.8,6.4,10.6,7.4,0.0,,,0.0,,,,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-07,,13.5,3.7,8.6,9.4,0.0,,,0.0,,32.0,33.0,86.2
2019-07-08,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-08,,19.5,7.2,13.4,4.6,0.0,,,0.0,,,,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-08,,15.5,4.6,10.1,7.9,0.0,,,0.0,,,,86.2
2019-07-09,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-09,,23.7,8.9,16.3,1.7,0.0,,,0.0,,,,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-09,,23.3,2.9,13.1,4.9,0.0,,,0.0,,,,86.2
2019-07-10,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-10,,20.2,6.4,13.3,4.7,0.0,,,0.0,,34.0,42.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-10,,18.3,5.3,11.8,6.2,0.0,,,0.0,,34.0,41.0,86.2
2019-07-11,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-11,,10.7,5.6,8.1,9.9,0.0,,,0.0,,29.0,38.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-11,,10.6,4.7,7.6,10.4,0.0,,,0.3,,31.0,37.0,86.2
2019-07-12,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-12,,13.6,4.8,9.2,8.8,0.0,,,0.0,,,,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-12,,11.6,2.6,7.1,10.9,0.0,,,0.0,,,,86.2
2019-07-13,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-13,,22.6,6.0,14.3,3.7,0.0,,,0.0,,,,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-13,,21.6,4.2,12.9,5.1,0.0,,,0.0,,,,86.2
2019-07-14,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-14,,21.9,13.3,17.6,0.4,0.0,,,0.0,,28.0,34.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-14,,23.3,6.5,14.9,3.1,0.0,,,0.0,,32.0,34.0,86.2
2019-07-15,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-15,,25.0,13.0,19.0,0.0,1.0,,,0.4,,2.0,35.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-15,,24.4,11.2,17.8,0.2,0.0,,,0.0,,3.0,38.0,86.2
2019-07-16,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-16,,17.3,8.7,13.0,5.0,0.0,,,6.9,,2.0,33.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-16,,14.7,8.3,11.5,6.5,0.0,,,1.8,,,,86.2
2019-07-17,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-17,,24.2,11.6,17.9,0.1,0.0,,,0.0,,,,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-17,,22.8,8.3,15.5,2.5,0.0,,,0.0,,,,86.2
2019-07-18,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-18,,22.0,11.5,16.8,1.2,0.0,,,0.0,,,,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-18,,16.3,9.4,12.9,5.1,0.0,,,0.9,,,,86.2
2019-07-19,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-19,,17.9,11.9,14.9,3.1,0.0,,,1.2,,30.0,32.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-19,,16.7,10.8,13.7,4.3,0.0,,,0.0,,33.0,35.0,86.2
2019-07-20,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-20,,23.9,8.7,16.3,1.7,0.0,,,0.0,,34.0,65.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-20,,23.2,7.3,15.2,2.8,0.0,,,1.0,,33.0,67.0,86.2
2019-07-21,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-21,,17.6,6.9,12.3,5.7,0.0,,,0.5,,31.0,35.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-21,,16.9,4.6,10.7,7.3,0.0,,,0.6,,32.0,50.0,86.2
2019-07-22,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-22,,21.9,12.7,17.3,0.7,0.0,,,0.0,,,,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-22,,21.4,11.1,16.3,1.7,0.0,,,0.0,,29.0,37.0,86.2
2019-07-23,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-23,,23.9,13.5,18.7,0.0,0.7,,,0.0,,4.0,42.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-23,,16.5,11.1,13.8,4.2,0.0,,,0.0,,8.0,34.0,86.2
2019-07-24,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-24,,26.1,12.0,19.0,0.0,1.0,,,0.0,,10.0,33.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-24,,23.4,9.0,16.2,1.8,0.0,,,0.3,,8.0,33.0,86.2
2019-07-25,,,,-133.532794,68.317527,INUVIK CLIMATE,2202578,2019-07-25,,22.3,11.5,16.9,1.1,0.0,,,0.0,,6.0,37.0,104.8,-133.5018,68.7463,TRAIL VALLEY,220N005,2019-07-25,,19.4,9.1,14.2,3.8,0.0,,,0.0,,6.0,41.0,86.2
