"Plot Title: Site_C"
"#","Date Time, GMT-06:00","Snow_depth, V (LGR S/N: 21378706, SEN S/N: 21424435)","Current, mA (LGR S/N: 21378706, SEN S/N: 21424435)"
1,07/24/22 09:56:30 AM,-82.564,0.0125
2,07/24/22 03:56:30 PM,-4.513,0.0125
3,07/24/22 09:56:30 PM,-4.575,0.0125
4,07/25/22 03:56:30 AM,-5.879,0.0125
5,07/25/22 09:56:30 AM,-6.935,0.0125
6,07/25/22 03:56:30 PM,-3.457,0.0125
7,07/25/22 09:56:30 PM,-4.078,0.0125
8,07/26/22 03:56:30 AM,-6.127,0.0125
9,07/26/22 09:56:30 AM,-7.059,0.0125
10,07/26/22 03:56:30 PM,-7.121,0.0125
11,07/26/22 09:56:30 PM,-6.003,0.0125
12,07/27/22 03:56:30 AM,-6.997,0.0125
13,07/27/22 09:56:30 AM,-7.555,0.0125
14,07/27/22 03:56:30 PM,-5.879,0.0125
15,07/27/22 09:56:30 PM,-5.817,0.0125
16,07/28/22 03:56:30 AM,-7.245,0.0125
17,07/28/22 09:56:30 AM,-7.183,0.0125
18,07/28/22 03:56:30 PM,-7.680,0.0125
19,07/28/22 09:56:30 PM,-6.872,0.0125
20,07/29/22 03:56:30 AM,-6.314,0.0063
21,07/29/22 09:56:30 AM,-6.872,0.0125
22,07/29/22 03:56:30 PM,-6.935,0.0125
23,07/29/22 09:56:30 PM,-7.555,0.0125
24,07/30/22 03:56:30 AM,-6.562,0.0125
25,07/30/22 09:56:30 AM,-6.810,0.0125
26,07/30/22 03:56:30 PM,-6.748,0.0125
27,07/30/22 09:56:30 PM,-6.686,0.0125
28,07/31/22 03:56:30 AM,-6.314,0.0063
29,07/31/22 09:56:30 AM,-6.686,0.0125
30,07/31/22 03:56:30 PM,-3.457,0.0125
31,07/31/22 09:56:30 PM,-4.575,0.0125
32,08/01/22 03:56:30 AM,-5.320,0.0125
33,08/01/22 09:56:30 AM,-6.872,0.0125
34,08/01/22 03:56:30 PM,-3.892,0.0125
35,08/01/22 09:56:30 PM,-4.885,0.0125
36,08/02/22 03:56:30 AM,-7.431,0.0125
37,08/02/22 09:56:30 AM,-7.245,0.0125
38,08/02/22 03:56:30 PM,-7.431,0.0125
39,08/02/22 09:56:30 PM,-8.673,0.0125
40,08/03/22 03:56:30 AM,-6.500,0.0125
41,08/03/22 09:56:30 AM,-6.997,0.0125
42,08/03/22 03:56:30 PM,-6.127,0.0125
43,08/03/22 09:56:30 PM,-6.065,0.0125
44,08/04/22 03:56:30 AM,-6.065,0.0125
45,08/04/22 09:56:30 AM,-6.624,0.0125
46,08/04/22 03:56:30 PM,-2.898,0.0125
47,08/04/22 09:56:30 PM,-2.588,0.0125
48,08/05/22 03:56:30 AM,-6.003,0.0125
49,08/05/22 09:56:30 AM,-5.568,0.0125
50,08/05/22 03:56:30 PM,-3.582,0.0125
51,08/05/22 09:56:30 PM,-3.644,0.0125
52,08/06/22 03:56:30 AM,-5.879,0.0125
53,08/06/22 09:56:30 AM,-7.431,0.0125
54,08/06/22 03:56:30 PM,-8.425,0.0125
55,08/06/22 09:56:30 PM,-7.183,0.0125
56,08/07/22 03:56:30 AM,-7.121,0.0125
57,08/07/22 09:56:30 AM,-7.555,0.0125
58,08/07/22 03:56:30 PM,-7.307,0.0125
59,08/07/22 09:56:30 PM,-7.804,0.0125
60,08/08/22 03:56:30 AM,-6.624,0.0125
61,08/08/22 09:56:30 AM,-7.369,0.0125
62,08/08/22 03:56:30 PM,-7.183,0.0125
63,08/08/22 09:56:30 PM,-6.686,0.0125
64,08/09/22 03:56:30 AM,-6.686,0.0125
65,08/09/22 09:56:30 AM,-7.618,0.0125
66,08/09/22 03:56:30 PM,-7.183,0.0125
67,08/09/22 09:56:30 PM,-8.735,0.0125
68,08/10/22 03:56:30 AM,-7.742,0.0125
69,08/10/22 09:56:30 AM,-7.121,0.0125
70,08/10/22 03:56:30 PM,-7.555,0.0125
71,08/10/22 09:56:30 PM,-7.804,0.0125
72,08/11/22 03:56:30 AM,-7.742,0.0125
73,08/11/22 09:56:30 AM,-8.238,0.0125
74,08/11/22 03:56:30 PM,-7.245,0.0125
75,08/11/22 09:56:30 PM,-5.568,0.0125
76,08/12/22 03:56:30 AM,-7.555,0.0125
77,08/12/22 09:56:30 AM,-7.928,0.0125
78,08/12/22 03:56:30 PM,-4.948,0.0125
79,08/12/22 09:56:30 PM,-4.389,0.0125
80,08/13/22 03:56:30 AM,-6.376,0.0125
81,08/13/22 09:56:30 AM,-7.183,0.0125
82,08/13/22 03:56:30 PM,-3.147,0.0125
83,08/13/22 09:56:30 PM,-5.072,0.0125
84,08/14/22 03:56:30 AM,-6.500,0.0125
85,08/14/22 09:56:30 AM,-7.680,0.0125
86,08/14/22 03:56:30 PM,-7.307,0.0125
87,08/14/22 09:56:30 PM,-7.866,0.0125
88,08/15/22 03:56:30 AM,-7.183,0.0125
89,08/15/22 09:56:30 AM,-7.680,0.0125
90,08/15/22 03:56:30 PM,-7.369,0.0125
91,08/15/22 09:56:30 PM,-7.493,0.0125
92,08/16/22 03:56:30 AM,-7.183,0.0125
93,08/16/22 09:56:30 AM,-8.425,0.0125
94,08/16/22 03:56:30 PM,-7.866,0.0125
95,08/16/22 09:56:30 PM,-7.680,0.0125
96,08/17/22 03:56:30 AM,-7.866,0.0125
97,08/17/22 09:56:30 AM,-7.307,0.0125
98,08/17/22 03:56:30 PM,-8.176,0.0125
99,08/17/22 09:56:30 PM,-7.121,0.0125
100,08/18/22 03:56:30 AM,-7.555,0.0125
101,08/18/22 09:56:30 AM,-6.562,0.0125
102,08/18/22 03:56:30 PM,-8.176,0.0125
103,08/18/22 09:56:30 PM,-7.493,0.0125
104,08/19/22 03:56:30 AM,-7.059,0.0125
105,08/19/22 09:56:30 AM,-6.997,0.0125
106,08/19/22 03:56:30 PM,-8.238,0.0125
107,08/19/22 09:56:30 PM,-8.238,0.0125
108,08/20/22 03:56:30 AM,-7.680,0.0125
109,08/20/22 09:56:30 AM,-7.680,0.0125
110,08/20/22 03:56:30 PM,-7.990,0.0125
111,08/20/22 09:56:30 PM,-8.549,0.0125
112,08/21/22 03:56:30 AM,-8.549,0.0125
113,08/21/22 09:56:30 AM,-8.922,0.0125
114,08/21/22 03:56:30 PM,-8.611,0.0125
115,08/21/22 09:56:30 PM,-8.301,0.0125
116,08/22/22 03:56:30 AM,-7.866,0.0125
117,08/22/22 09:56:30 AM,-7.742,0.0063
118,08/22/22 03:56:30 PM,-8.859,0.0125
119,08/22/22 09:56:30 PM,-9.791,0.0125
120,08/23/22 03:56:30 AM,-9.170,0.0125
121,08/23/22 09:56:30 AM,-9.605,0.0125
122,08/23/22 03:56:30 PM,-9.418,0.0125
123,08/23/22 09:56:30 PM,-10.039,0.0125
124,08/24/22 03:56:30 AM,-9.480,0.0125
125,08/24/22 09:56:30 AM,-8.176,0.0125
126,08/24/22 03:56:30 PM,-9.853,0.0125
127,08/24/22 09:56:30 PM,-8.549,0.0125
128,08/25/22 03:56:30 AM,-9.232,0.0125
129,08/25/22 09:56:30 AM,-8.549,0.0125
130,08/25/22 03:56:30 PM,-9.853,0.0125
131,08/25/22 09:56:30 PM,-9.294,0.0125
132,08/26/22 03:56:30 AM,-8.673,0.0125
133,08/26/22 09:56:30 AM,-8.735,0.0125
134,08/26/22 03:56:30 PM,-8.363,0.0125
135,08/26/22 09:56:30 PM,-8.176,0.0125
136,08/27/22 03:56:30 AM,-7.928,0.0125
137,08/27/22 09:56:30 AM,-8.859,0.0125
138,08/27/22 03:56:30 PM,-7.183,0.0125
139,08/27/22 09:56:30 PM,-8.363,0.0125
140,08/28/22 03:56:30 AM,-8.425,0.0125
141,08/28/22 09:56:30 AM,-7.928,0.0125
142,08/28/22 03:56:30 PM,-9.170,0.0125
143,08/28/22 09:56:30 PM,-8.922,0.0125
144,08/29/22 03:56:30 AM,-8.425,0.0125
145,08/29/22 09:56:30 AM,-7.431,0.0125
146,08/29/22 03:56:30 PM,-10.225,0.0125
147,08/29/22 09:56:30 PM,-9.791,0.0125
148,08/30/22 03:56:30 AM,-8.238,0.0125
149,08/30/22 09:56:30 AM,-8.363,0.0125
150,08/30/22 03:56:30 PM,-9.108,0.0125
151,08/30/22 09:56:30 PM,-8.735,0.0125
152,08/31/22 03:56:30 AM,-7.804,0.0063
153,08/31/22 09:56:30 AM,-9.977,0.0125
154,08/31/22 03:56:30 PM,-9.915,0.0125
155,08/31/22 09:56:30 PM,-8.052,0.0125
156,09/01/22 03:56:30 AM,-7.928,0.0125
157,09/01/22 09:56:30 AM,-8.922,0.0125
158,09/01/22 03:56:30 PM,-10.101,0.0125
159,09/01/22 09:56:30 PM,-8.425,0.0125
160,09/02/22 03:56:30 AM,-7.928,0.0125
161,09/02/22 09:56:30 AM,-9.418,0.0125
162,09/02/22 03:56:30 PM,-8.425,0.0125
163,09/02/22 09:56:30 PM,-8.735,0.0125
164,09/03/22 03:56:30 AM,-8.363,0.0125
165,09/03/22 09:56:30 AM,-9.108,0.0125
166,09/03/22 03:56:30 PM,-10.660,0.0125
167,09/03/22 09:56:30 PM,-9.294,0.0125
168,09/04/22 03:56:30 AM,-8.859,0.0125
169,09/04/22 09:56:30 AM,-8.673,0.0125
170,09/04/22 03:56:30 PM,-9.232,0.0125
171,09/04/22 09:56:30 PM,-8.922,0.0125
172,09/05/22 03:56:30 AM,-8.176,0.0125
173,09/05/22 09:56:30 AM,-8.176,0.0125
174,09/05/22 03:56:30 PM,-8.052,0.0125
175,09/05/22 09:56:30 PM,-8.487,0.0125
176,09/06/22 03:56:30 AM,-7.369,0.0125
177,09/06/22 09:56:30 AM,-7.369,0.0125
178,09/06/22 03:56:30 PM,-9.294,0.0125
179,09/06/22 09:56:30 PM,-9.418,0.0125
180,09/07/22 03:56:30 AM,-6.810,0.0063
181,09/07/22 09:56:30 AM,-8.114,0.0125
182,09/07/22 03:56:30 PM,-9.418,0.0125
183,09/07/22 09:56:30 PM,-9.480,0.0125
184,09/08/22 03:56:30 AM,-9.046,0.0125
185,09/08/22 09:56:30 AM,-8.425,0.0125
186,09/08/22 03:56:30 PM,-9.605,0.0125
187,09/08/22 09:56:30 PM,-9.853,0.0125
188,09/09/22 03:56:30 AM,-8.425,0.0125
189,09/09/22 09:56:30 AM,-8.922,0.0063
190,09/09/22 03:56:30 PM,-10.288,0.0125
